date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:56	160124/160124	---MCZ	200	added ('OK')	text/html	etag:cacheable:9180a7bea62fa9ecaa6586f144ec7acd	https://goviva.vn/pages/sommelier-on-demand	D:/New%20folder%20(2)/wine/goviva.vn/pages/sommelier-on-demand.html	(from https://goviva.vn/)
11:16:57	176068/176068	---MCZ	200	added ('OK')	text/html	etag:cacheable:335349aec12d60bf87eb3533cb6f8774	https://goviva.vn/blogs/news-1	D:/New%20folder%20(2)/wine/goviva.vn/blogs/news-1.html	(from https://goviva.vn/)
11:16:57	270440/270440	---MCZ	200	added ('OK')	text/html	etag:cacheable:fe00e98584d9403ec27142897df1c4b7	https://goviva.vn/collections/wines-for-celebration	D:/New%20folder%20(2)/wine/goviva.vn/collections/wines-for-celebration.html	(from https://goviva.vn/)
11:16:58	286678/286678	---MCZ	200	added ('OK')	text/html	etag:cacheable:eb5b1b2a50f0445b1748cae839dbc235	https://goviva.vn/collections/wines-for-lifestyle	D:/New%20folder%20(2)/wine/goviva.vn/collections/wines-for-lifestyle.html	(from https://goviva.vn/)
11:16:58	242449/242449	---MCZ	200	added ('OK')	text/html	etag:cacheable:a3a17da984b83c3837da629d5779c831	https://goviva.vn/collections/wines-for-entertainment	D:/New%20folder%20(2)/wine/goviva.vn/collections/wines-for-entertainment.html	(from https://goviva.vn/)
11:16:59	138/138	---MC-	302	error ('Found')	text/html	date:Mon,%2008%20Nov%202021%2004:17:01%20GMT	https://goviva.vn/checkout	D:/New%20folder%20(2)/wine/goviva.vn/checkout	(from https://goviva.vn/)
11:16:59	88/88	---MC-	302	error ('Found')	text/html	date:Mon,%2008%20Nov%202021%2004:17:01%20GMT	https://goviva.vn/29449584715/checkouts/37f19eebee58cf304ddde5c1937f7bde	D:/New%20folder%20(2)/wine/goviva.vn/29449584715/checkouts/37f19eebee58cf304ddde5c1937f7bde	(from https://goviva.vn/)
11:17:00	148915/148915	---MCZ	200	added ('OK')	text/html	etag:cacheable:720137c164101fd47bb6e3a744acea5e	https://goviva.vn/cart	D:/New%20folder%20(2)/wine/goviva.vn/cart.html	(from https://goviva.vn/)
11:17:00	119/119	---MC-	302	error ('Found')	text/html	date:Mon,%2008%20Nov%202021%2004:17:02%20GMT	https://goviva.vn/account	D:/New%20folder%20(2)/wine/goviva.vn/account	(from https://goviva.vn/)
11:17:01	161750/161750	---MCZ	200	added ('OK')	text/html	etag:cacheable:2fe4f7a516586a312ddb8f50251d7101	https://goviva.vn/account/login?return_url=%2Faccount	D:/New%20folder%20(2)/wine/goviva.vn/account/login4236.html	(from https://goviva.vn/)
